"weight";"lat";"lon"
2;45.5339831;-122.8643908
3;45.54382100000001;-122.843059
3;45.5508675;-122.8483694
3.5;45.5207849;-122.926221
4;45.49695879999999;-122.8807113
3;45.5057581;-122.8234497
3.5;45.5261072;-122.8971365
4;45.507654;-122.882733
5;45.5198698;-122.8998302
5;45.5324435;-122.8548019
4;45.5339969;-122.8547693
4.5;45.523323;-122.893627
4;45.5143217;-122.8449194
4;45.5351176;-122.8563538
3;45.5477012;-122.817874
4;45.52342;-122.810437
2.5;45.53405739999999;-122.8648637
2.5;45.522943;-122.82979
4;45.50173299999999;-122.898616
5;45.5377378;-122.8530913
3;45.356806;-94.44438369999999
5;45.13218;-93.245285
10;45.559724;-122.817171
4;45.506161;-122.892362
2.25;45.51081000000001;-122.873986
4;30.4666949;-85.4264474
5;45.5318449;-122.889914
5;45.512701;-122.872913
4;45.5296602;-122.8853552
3;45.531391;-122.861471
3;45.5233152;-122.8682406
0;45.499158;-122.832298
13;45.5598896;-122.8875108
2;45.5693091;-122.8498128
3.75;45.5560479;-122.853037
2;45.546887;-122.850816
4;45.488634;-122.865154
6;45.550156;-122.842281
4;45.542902;-122.838733
3;45.521893;-122.861036
2;45.5505912;-122.8068727
2;45.5495318;-122.7726223
3;45.494627;-122.804116
4.5;45.55040899999999;-122.842188
2;38.4361447;-90.54484509999999
3.5;45.540926;-122.80623
5;45.554605;-122.81624
4;45.52861619999999;-122.8371733
3.75;45.533978;-122.839441
4.5;45.542148;-122.841235
5;45.49855729999999;-122.83341
4.5;45.5086492;-122.8538425
5;45.538671;-122.825008
4;45.5217703;-122.8046864
5;45.51411;-122.891271
20;45.5198441;-122.8012338
5;45.525631;-122.858398
11;45.505045;-122.872339
5;45.513831;-122.850606
10;45.5587295;-122.8977251
3;45.53222;-122.9171189
5;45.529897;-122.921954
5;45.52562289999999;-122.8633607
3;45.516955;-122.811003
3;45.4984231;-122.8335569
2;45.535914;-122.872377
6;35.0585505;-106.8163451
3;45.550011;-122.853876
5;45.512988;-122.854239
5.5;45.514531;-122.895391
4.5;45.5379513;-122.8810992
4.5;45.515068;-122.867093
4;45.507867;-122.878322
0;45.5139702;-122.8513361
3;45.5088243;-122.8540069
0;45.5414955;-122.8712133
2;45.51293260000001;-122.8259167
4.5;45.511193;-122.888541
2.5;45.51593159999999;-122.883651
5;45.50395779999999;-122.8225487
5;45.5204199;-122.8408588
2;25.7431705;-80.44025909999999
8;45.54852;-122.769795
5;45.5153401;-122.9065447
5.5;45.49044199999999;-122.814239
5;45.555307;-122.873495
5;45.5318449;-122.889914
2;45.535914;-122.872377
5.75;45.499136;-122.855648
3.5;45.530878;-122.82814
13;45.5362915;-122.87537
3.5;31.827191;-106.588446
6;45.566;-122.834273
1;45.532219;-122.89063
0;45.5414955;-122.8712133
17.5;45.5200518;-122.799261
4.25;45.5162702;-122.8110912
4;45.513825;-122.892579
3;45.5242379;-122.866279
5;45.52794069999999;-122.8989002
5;45.5045279;-122.8225244
6;45.529592;-122.8430956
3;45.543017;-122.80856
4;45.505542;-122.808618
3;45.486979;-122.846469
2;45.5283299;-122.776249
5;45.5085597;-122.8124838
5;45.514548;-122.815799
3;45.5125339;-122.8551558
4;45.513011;-122.809195
4;45.518764;-122.856793
4;45.5212131;-122.804015
2;45.5099399;-122.856944
0;45.506794;-122.824423
3.25;45.5368935;-122.8495938
3;45.5375468;-122.8480558
5;45.52863199999999;-122.860721
5;45.5605553;-122.8056724
3;45.563162;-122.89363
5;45.520525;-122.842679
6;45.526315;-122.8406576
5;45.5287453;-122.8360967
5;45.526315;-122.8406576
0;45.549953;-122.864845
6;45.5424836;-122.8754642
2.5;45.53212500000001;-122.861954
10;45.5428115;-122.8930576
4;45.51381019999999;-122.8827431
2;45.48767300000001;-122.872356
4;45.5378445;-122.8716484
2;45.542854;-122.86239
7;45.5027835;-122.8846867
5.25;45.5164828;-122.8468732
5;45.5081634;-122.8556126
4;45.5306185;-122.8307246
5;45.3459247;-123.2304435
12;45.4967523;-122.8104607
2;45.52703409999999;-122.8713932
2.5;45.5183419;-122.808007
3.75;45.51618300000001;-122.80825
5;45.519641;-122.850823
5;45.5091328;-122.8154375
3;45.5560479;-122.853037
5;32.9241325;-96.8764267
3;45.545133;-122.856344
3;45.551227;-122.850608
5;45.546706;-122.850954
4;45.544475;-122.872726
4;45.508838;-122.894774
10.25;45.5526457;-122.889717
2;45.52893299999999;-122.890647
5.25;45.5307518;-122.8441315
2;45.5329312;-122.8337149
3.75;45.4899119;-122.840979
4;45.511406;-122.84092
8.5;45.554096;-122.828356
4;45.5675035;-122.8355299
10;45.513168;-122.880295
5.75;45.519244;-122.864516
3;45.508273;-122.854077
3.75;45.5212888;-122.8872386
2;45.5493387;-122.8463863
7;45.559724;-122.817171
