"weight";"lat";"lon"
3.25;45.5336676;-122.8522079
0;45.4163308;-122.8246651
4;45.5364488;-122.8474759
3;45.5378445;-122.8716484
1;45.5125693;-122.8246707
5;45.55175699999999;-122.805655
4;45.5600362;-122.8386876
3.75;45.512878;-122.853934
4;45.529089;-122.892536
2;31.827191;-106.588446
6.5;45.511728;-122.844175
4.75;45.51576;-122.913269
3;45.4970799;-122.85742
5;45.356806;-94.44438369999999
4.75;45.4951407;-122.8328996
4;45.5275403;-122.8355274
2;32.924111;-96.8769329
